iter	Passed	Remaining
413	3248	4597
414	3256	4590
415	3264	4583
416	3272	4574
417	3278	4565
418	3286	4557
419	3293	4548
420	3306	4547
421	3314	4540
422	3323	4532
423	3331	4526
424	3339	4517
425	3347	4510
426	3357	4505
427	3371	4506
428	3381	4501
429	3391	4495
430	3399	4487
431	3406	4478
432	3413	4470
433	3421	4461
434	3428	4453
435	3435	4444
436	3443	4436
437	3451	4429
438	3460	4421
439	3468	4414
440	3477	4408
441	3484	4399
442	3492	4390
443	3500	4383
444	3507	4375
445	3517	4369
446	3524	4360
447	3534	4354
448	3542	4347
449	3550	4339
450	3559	4332
451	3567	4325
452	3575	4317
453	3583	4309
454	3590	4300
455	3599	4293
456	3606	4285
457	3613	4276
458	3621	4268
459	3631	4262
460	3641	4257
461	3650	4251
462	3659	4244
463	3666	4235
464	3674	4227
465	3681	4218
466	3689	4210
467	3697	4203
468	3705	4194
469	3712	4186
470	3721	4179
471	3729	4171
472	3736	4163
473	3744	4155
474	3751	4145
475	3758	4137
476	3767	4130
477	3775	4122
478	3783	4115
479	3790	4106
480	3801	4101
481	3813	4098
482	3823	4092
483	3835	4088
484	3844	4082
485	3851	4073
486	3860	4066
487	3866	4056
488	3874	4048
489	3881	4040
490	3889	4031
491	3897	4024
492	3904	4015
493	3913	4008
494	3920	3999
495	3928	3991
496	3935	3982
497	3942	3974
498	3950	3966
499	3957	3957
500	3966	3950
501	3973	3941
502	3980	3933
503	3987	3924
504	3997	3918
505	4005	3910
506	4013	3903
507	4021	3894
508	4028	3886
509	4036	3877
510	4043	3869
511	4050	3860
512	4057	3851
513	4064	3843
514	4072	3835
515	4079	3826
516	4087	3818
517	4094	3810
518	4102	3801
519	4111	3795
520	4119	3787
521	4126	3778
522	4133	3770
523	4140	3761
524	4147	3752
525	4154	3744
526	4162	3736
527	4170	3728
528	4177	3719
529	4184	3710
530	4191	3702
531	4199	3694
532	4206	3685
533	4213	3677
534	4220	3668
535	4229	3661
536	4237	3653
537	4245	3645
538	4253	3638
539	4261	3630
540	4268	3621
541	4275	3613
542	4282	3604
543	4289	3595
544	4298	3588
545	4306	3580
546	4313	3572
547	4320	3563
548	4327	3555
549	4334	3546
550	4343	3539
551	4350	3530
552	4357	3521
553	4364	3514
554	4371	3505
555	4378	3496
556	4385	3487
557	4393	3480
558	4402	3473
559	4409	3464
560	4417	3456
561	4424	3448
562	4432	3440
563	4440	3432
564	4447	3424
565	4454	3415
566	4462	3407
567	4469	3399
568	4476	3390
569	4483	3382
570	4491	3374
571	4498	3366
572	4507	3358
573	4514	3350
574	4521	3342
575	4529	3333
576	4536	3325
577	4544	3318
578	4552	3309
579	4560	3302
580	4567	3294
581	4576	3286
582	4584	3279
583	4592	3271
584	4600	3263
585	4608	3255
586	4615	3247
587	4623	3239
588	4629	3230
589	4637	3222
590	4645	3214
591	4652	3206
592	4660	3198
593	4667	3190
594	4675	3182
595	4686	3176
596	4695	3169
597	4703	3162
598	4711	3154
599	4720	3147
600	4728	3138
601	4736	3131
602	4743	3122
603	4750	3114
604	4758	3106
605	4766	3098
606	4774	3090
607	4781	3082
608	4788	3074
609	4796	3066
610	4803	3058
611	4811	3050
612	4820	3043
613	4828	3035
614	4835	3027
615	4843	3019
616	4849	3010
617	4856	3002
618	4863	2993
619	4870	2985
620	4878	2977
621	4885	2968
622	4892	2960
623	4899	2952
624	4907	2944
625	4915	2937
626	4923	2929
627	4954	2934
628	4965	2928
629	4972	2920
630	4980	2912
631	4989	2905
632	4997	2897
633	5004	2889
634	5012	2881
635	5020	2873
636	5028	2865
637	5035	2857
638	5044	2849
639	5052	2842
640	5060	2834
641	5068	2826
642	5075	2817
643	5084	2810
644	5091	2802
645	5099	2794
646	5106	2786
647	5114	2778
648	5121	2769
649	5129	2762
650	5136	2753
651	5145	2746
652	5153	2738
653	5161	2730
654	5169	2722
655	5177	2714
656	5185	2707
657	5192	2698
658	5200	2690
659	5207	2682
660	5215	2674
661	5223	2666
662	5245	2666
663	5256	2660
664	5265	2652
665	5274	2644
666	5282	2637
667	5290	2629
668	5299	2622
669	5308	2614
670	5317	2607
671	5326	2599
672	5335	2592
673	5346	2585
674	5356	2578
675	5364	2571
676	5371	2562
677	5378	2554
