iter	MultiClass
0	1.5183909
1	1.433142696
2	1.345164873
3	1.23952802
4	1.172145135
5	1.129880449
6	1.077268304
7	0.995837855
8	0.9605981315
9	0.9201441511
10	0.8659068805
11	0.8412134564
12	0.8073308648
13	0.7748564516
14	0.7558073239
15	0.7323050716
16	0.706776895
17	0.6832935643
18	0.659672148
19	0.6367286205
20	0.6214840183
21	0.602669485
22	0.5789403607
23	0.5657583219
24	0.5472688531
25	0.5327331734
26	0.5176232307
27	0.5013304585
28	0.4880369753
29	0.4772645888
30	0.4647070016
31	0.4524578052
32	0.4439957562
33	0.4351257084
34	0.4274855643
35	0.4196862192
36	0.4085323927
37	0.4000609023
38	0.3868167793
39	0.3792388735
40	0.3717601066
41	0.3637699092
42	0.3578255355
43	0.3489541101
44	0.3429019459
45	0.3366656122
46	0.3293776788
47	0.323780366
48	0.3187362347
49	0.3133982419
50	0.3071716164
51	0.3036540116
52	0.2983938672
53	0.2931830685
54	0.2897439907
55	0.2820926849
56	0.2781857415
57	0.273372323
58	0.2684788823
59	0.2630457624
60	0.2589597845
61	0.2530348283
62	0.2501290959
63	0.2449836954
64	0.2413383178
65	0.237091942
66	0.2331909308
67	0.2294454815
68	0.2250917466
69	0.2186055004
70	0.2161748761
71	0.2132570942
72	0.2104100256
73	0.2080793152
74	0.2024711541
75	0.1984415265
76	0.1961099645
77	0.1936966474
78	0.19132928
79	0.1896329699
80	0.1871186254
81	0.1846747803
82	0.1823253113
83	0.17922159
84	0.1752165063
85	0.1723505148
86	0.1691879801
87	0.1667794633
88	0.1641228929
89	0.1608612937
90	0.1575753918
91	0.1563244439
92	0.1547915837
93	0.1534680148
94	0.1517240408
95	0.1497355079
96	0.1470038305
97	0.1441545407
98	0.1414670199
99	0.1401585917
100	0.1381288768
101	0.1362131169
102	0.135017529
103	0.133137123
104	0.13157453
105	0.1299830227
106	0.1285004712
107	0.1265537418
108	0.1247881189
109	0.1232078764
110	0.120913074
111	0.1194534426
112	0.1173991649
113	0.1158648902
114	0.1140277548
115	0.1128911987
116	0.1116037062
117	0.1096315451
118	0.1085208383
119	0.1074446949
120	0.1059748555
121	0.1046525456
122	0.1036822547
123	0.1027133568
124	0.1008950036
125	0.09955315807
126	0.09811556122
127	0.09677658197
128	0.09599491133
129	0.09507267903
130	0.09331167996
131	0.09254556776
132	0.09098488339
133	0.09003034541
134	0.08929359701
135	0.0886374447
136	0.08763382685
137	0.08682520038
138	0.08600865117
139	0.08517971049
140	0.08438807069
141	0.08361948111
142	0.08285293868
143	0.08164950793
144	0.08071826897
145	0.07986046004
146	0.0791858294
147	0.07852765369
148	0.07777535519
149	0.07714195229
150	0.07639500215
151	0.07579772609
152	0.07511823955
153	0.07411283172
154	0.07354018936
155	0.07300499723
156	0.07248310697
157	0.0720916444
158	0.07148207396
159	0.07086315064
160	0.0704835678
161	0.07004123765
162	0.06947019319
163	0.06854107964
164	0.06771366064
165	0.06735019098
166	0.06694215661
167	0.0663370488
168	0.06534106323
169	0.06482404783
170	0.06449291799
171	0.06396763017
172	0.06313517525
173	0.06254678817
174	0.06211501545
175	0.06176127859
176	0.06133779019
177	0.06084085191
178	0.06006685186
179	0.05969851926
180	0.05896288448
181	0.05855274723
182	0.05812807707
183	0.0574803611
184	0.05671563264
185	0.05633060095
186	0.05608790253
187	0.05543333149
188	0.05503059531
189	0.05469751481
190	0.05438088484
191	0.05413683476
192	0.05370558806
193	0.05346748967
194	0.05293396483
195	0.05262175708
196	0.0523161813
197	0.05203852766
198	0.05168541732
199	0.05120209477
200	0.05078015967
201	0.05046390326
202	0.05018733407
203	0.04991864302
204	0.04964497652
205	0.04947068347
206	0.04906771971
207	0.04881479133
208	0.0485725038
209	0.04829605573
210	0.04799274106
211	0.04769074543
212	0.04742991786
213	0.04716249296
214	0.04684699183
215	0.04659656003
216	0.04611873141
217	0.04591204229
218	0.04571314825
219	0.045542481
220	0.04527037879
221	0.04478212341
222	0.04453651324
223	0.04433869983
224	0.04410660327
225	0.04384754215
226	0.04361075812
227	0.04321358915
228	0.04281471136
229	0.04264181826
230	0.04214320827
231	0.04194066898
232	0.04129785243
233	0.04107877888
234	0.04060687862
235	0.04042772106
236	0.04025835326
237	0.040135258
238	0.0399445828
239	0.03944552215
240	0.03932638311
241	0.03902346159
242	0.03868898436
243	0.03835930344
244	0.03821144916
245	0.03809351036
246	0.03795279608
247	0.03785144486
248	0.03772562346
